M. Ishwari Prasad Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
M. Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
I P Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
M Ishwari Prasad Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
I. P. Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
M Varma	Varma, Ishwari Prasad	http://vocab.getty.edu/ulan/500122814
Domenico Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
M. Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
D. Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
M Domenico Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
M. Domenico Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
D Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
M Vito	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
Vitus, Domenico	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
Vitus, Dominique	Vito, Domenico	http://vocab.getty.edu/ulan/500056690	http://id.loc.gov/authorities/names/nr97018550
Guggenheim, Willy	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
Varlin	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
M. Varlin	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
M Varlin	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
Willy Guggenheim	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
Varlin, Willy Guggenheim	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
Varlin, Willy	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
