L. Yale	Yale, Linus	http://vocab.getty.edu/ulan/500010325	http://id.loc.gov/authorities/names/nr93012260
M. Linus Yale	Yale, Linus	http://vocab.getty.edu/ulan/500010325	http://id.loc.gov/authorities/names/nr93012260
M. Yale	Yale, Linus	http://vocab.getty.edu/ulan/500010325	http://id.loc.gov/authorities/names/nr93012260
Yale	Yale, Linus	http://vocab.getty.edu/ulan/500010325	http://id.loc.gov/authorities/names/nr93012260
L Yale	Yale, Linus	http://vocab.getty.edu/ulan/500010325	http://id.loc.gov/authorities/names/nr93012260
M Yale	Yale, Linus	http://vocab.getty.edu/ulan/500010325	http://id.loc.gov/authorities/names/nr93012260
M Linus Yale	Yale, Linus	http://vocab.getty.edu/ulan/500010325	http://id.loc.gov/authorities/names/nr93012260
Mitsuyo Yabuki	Yabuki, Mitsuyo	http://vocab.getty.edu/ulan/500288676
M. Yabuki	Yabuki, Mitsuyo	http://vocab.getty.edu/ulan/500288676
Yabuki	Yabuki, Mitsuyo	http://vocab.getty.edu/ulan/500288676
M Yabuki	Yabuki, Mitsuyo	http://vocab.getty.edu/ulan/500288676
M. Mitsuyo Yabuki	Yabuki, Mitsuyo	http://vocab.getty.edu/ulan/500288676
M Mitsuyo Yabuki	Yabuki, Mitsuyo	http://vocab.getty.edu/ulan/500288676
Melanie Andrew Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
Mme. Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
Mme Melanie Andrew Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
M A Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
Mme Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
Mme. Melanie Andrew Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
M. A. Yazzie	Yazzie, Melanie Andrew	http://vocab.getty.edu/ulan/500034190	http://id.loc.gov/authorities/names/nr98018389
Sigeru Yura	Yura, Sigeru	http://vocab.getty.edu/ulan/500108090
