Mordecai ben Nisan	Mordecai ben Nisan	http://datos.bne.es/resource/XX1695172
Mardochaeus,	Mordecai ben Nisan	http://datos.bne.es/resource/XX1695172
Moreais, C. de	Moreais, C. de	http://datos.bne.es/resource/XX1695173
Moreau, Bertrand	Moreau, Bertrand	http://datos.bne.es/resource/XX1695174
Moreau de Vormes, Jacob Augustin Antoine	Moreau de Vormes, Jacob Augustin Antoine	http://datos.bne.es/resource/XX1695181
Monroy	Monroy	http://datos.bne.es/resource/XX1036381
Moreau de Saint-Elier, Louis-Malo	Moreau de Saint Elier, Louis Malo	http://datos.bne.es/resource/XX1695180
Mir, Pedro	Mir, Pedro	http://datos.bne.es/resource/XX950590	http://viaf.org/viaf/61573804	http://d-nb.info/gnd/120205025	http://dbpedia.org/resource/Pedro_Mir
Mir Valentín, Pedro Julio	Mir, Pedro	http://datos.bne.es/resource/XX950590	http://viaf.org/viaf/61573804	http://d-nb.info/gnd/120205025	http://dbpedia.org/resource/Pedro_Mir
Mérat, François Victor	Mérat, François Victor	http://datos.bne.es/resource/XX1692327
Manuel de Portugal	Manuel de Portugal	http://datos.bne.es/resource/XX1359344
Manoel de Portugal	Manuel de Portugal	http://datos.bne.es/resource/XX1359344
Portugal, Manuel de	Manuel de Portugal	http://datos.bne.es/resource/XX1359344
Merati, Gaetano Maria	Merati, Gaetano Maria	http://datos.bne.es/resource/XX1692328
Meratus, Cajetanus-Maria	Merati, Gaetano Maria	http://datos.bne.es/resource/XX1692328
Merati, Giuseppe	Merati, Giuseppe	http://datos.bne.es/resource/XX1692329
Morozova, Vera Aleksandrovna	Morozova, Vera Aleksandrovna	http://datos.bne.es/resource/XX1157072	http://viaf.org/viaf/10146785	http://d-nb.info/gnd/122493729
Morozova, Vera	Morozova, Vera Aleksandrovna	http://datos.bne.es/resource/XX1157072	http://viaf.org/viaf/10146785	http://d-nb.info/gnd/122493729
Merbes, Bon de	Merbes, Bon de	http://datos.bne.es/resource/XX1692331
Murguía Olaso, Ana María	Murguía Olaso, Ana María	http://datos.bne.es/resource/XX911531	http://viaf.org/viaf/87827331
Merault, A.-J.	Merault, A. J.	http://datos.bne.es/resource/XX1692330
Mercadier de Belestá, Jean-Baptiste	Mercadier de Belestá, Jean Baptiste	http://datos.bne.es/resource/XX1692333
Merbitz, Johann Valentin	Merbitz, Johann Valentin	http://datos.bne.es/resource/XX1692332
Mercado, Pedro	Mercado, Pedro	http://datos.bne.es/resource/XX1692334
Mercati, Michelle	Mercati, Michelle	http://datos.bne.es/resource/XX1692337
Mercado y Solís, Luis de	Mercado y Solís, Luis de	http://datos.bne.es/resource/XX1692336
Matos, José	Matos, José	http://datos.bne.es/resource/XX1360630
Metino,	Metino,	http://datos.bne.es/resource/XX1700579
Maeso Tognochi, Carlos	Maeso Tognochi, Carlos	http://datos.bne.es/resource/XX913505	http://viaf.org/viaf/58936114
Martínez Laseca, José María	Martínez Laseca, José María	http://datos.bne.es/resource/XX829935	http://viaf.org/viaf/5097037
Muñoz, Clodoaldo	Muñoz, Clodoaldo	http://datos.bne.es/resource/XX1043376
Mal'chevskiï, Alekseï Pavlovich	Mal' chevskiï, Alekseï Pavlovich	http://datos.bne.es/resource/XX1105364	http://viaf.org/viaf/40725731
Mal'chevskiï, Alekseï	Mal' chevskiï, Alekseï Pavlovich	http://datos.bne.es/resource/XX1105364	http://viaf.org/viaf/40725731
Mencía González, José Julio	Mencía González, José Julio	http://datos.bne.es/resource/XX950581	http://viaf.org/viaf/87925696
Meyer, Johannes	Meyer, Johannes	http://datos.bne.es/resource/XX1756374
Moreno, José	Moreno, José	http://datos.bne.es/resource/XX4581662
Mendiola Ibarra, Francisco	Mendiola Ibarra, Francisco	http://datos.bne.es/resource/XX1631153
Manson, Eddy	Manson, Eddy	http://datos.bne.es/resource/XX1631154	http://viaf.org/viaf/39640418	http://d-nb.info/gnd/140469737
Manson, Eddy Lawrence	Manson, Eddy	http://datos.bne.es/resource/XX1631154	http://viaf.org/viaf/39640418	http://d-nb.info/gnd/140469737
Manson, Ed	Manson, Eddy	http://datos.bne.es/resource/XX1631154	http://viaf.org/viaf/39640418	http://d-nb.info/gnd/140469737
Manson, Eddy L.	Manson, Eddy	http://datos.bne.es/resource/XX1631154	http://viaf.org/viaf/39640418	http://d-nb.info/gnd/140469737
Mestres Quadreny, Josep Maria	Mestres Quadreny, Josep Maria	http://datos.bne.es/resource/XX1069596	http://viaf.org/viaf/77124587	http://d-nb.info/gnd/119403471
Mestres Quadreny, J. M.	Mestres Quadreny, Josep Maria	http://datos.bne.es/resource/XX1069596	http://viaf.org/viaf/77124587	http://d-nb.info/gnd/119403471
Mestres Quadreny, Josep M.	Mestres Quadreny, Josep Maria	http://datos.bne.es/resource/XX1069596	http://viaf.org/viaf/77124587	http://d-nb.info/gnd/119403471
Mestres i Quadreny, Josep M.	Mestres Quadreny, Josep Maria	http://datos.bne.es/resource/XX1069596	http://viaf.org/viaf/77124587	http://d-nb.info/gnd/119403471
Martí y Gadea, Joaquín	Martí y Gadea, Joaquín	http://datos.bne.es/resource/XX867704	http://viaf.org/viaf/34822396	http://d-nb.info/gnd/101492677
Martí Gadea, J.	Martí y Gadea, Joaquín	http://datos.bne.es/resource/XX867704	http://viaf.org/viaf/34822396	http://d-nb.info/gnd/101492677
