A. (Liverpool) Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
M. George Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
M Yabu	Yabu, George	http://vocab.getty.edu/ulan/500275909
Hayashi, Yasuyoshi	Yasuyoshi Hayashi	http://vocab.getty.edu/ulan/500063224
Yasuyoshi Hayashi	Yasuyoshi Hayashi	http://vocab.getty.edu/ulan/500063224
M Yasuyoshi Hayashi	Yasuyoshi Hayashi	http://vocab.getty.edu/ulan/500063224
M. Yasuyoshi Hayashi	Yasuyoshi Hayashi	http://vocab.getty.edu/ulan/500063224
Aleksey Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
A. Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
M. Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
M Aleksey Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
M Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
M. Aleksey Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
A Yegorov	Yegorov, Aleksey	http://vocab.getty.edu/ulan/500065403
Armstrong Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
M Armstrong Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
M Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
A Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
M. Armstrong Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
A. Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
M. Yakubu	Yakubu, Armstrong	http://vocab.getty.edu/ulan/500279266
Tatsuhike Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
M. Tatsuhike Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
M Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
M. Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
T Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
T. Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
M Tatsuhike Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
Yokoo	Yokoo, Tatsuhike	http://vocab.getty.edu/ulan/500182815
M Yonge	Yonge	http://vocab.getty.edu/ulan/500370068
M. Yonge	Yonge	http://vocab.getty.edu/ulan/500370068
Yonge	Yonge	http://vocab.getty.edu/ulan/500370068
Gerónimo Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
G Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
G. Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
M. Gerónimo Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
M. Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
M Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
M Gerónimo Yavarri	Yavarri, Gerónimo	http://vocab.getty.edu/ulan/500038249
Shaviv E. Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
S E Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
M. Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
M Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
S. E. Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
M Shaviv E. Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
M. Shaviv E. Yezioro	Yezioro, Shaviv E.	http://vocab.getty.edu/ulan/500291130
Louis Joseph Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
M. Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
L J Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
M. Louis Joseph Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
M Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
M Louis Joseph Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
