Joaquín F. Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
J. F. Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
M. Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
J F Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
M Joaquín F. Quintanilla	Quintanilla, Joaquín F. (1917--)	http://data.bnf.fr/ark:/12148/cb144544235#foaf:Person	http://www.idref.fr/154012726
Fakhr al-Dīn Qabāwah	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
M. Faẖr al Dīn Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
M Faẖr al Dīn Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
M Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
M. Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
F D Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
F. D. Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
Faẖr al Dīn Qabāwaẗ	Qabāwaẗ, Faẖr al Dīn (1933--)	http://data.bnf.fr/ark:/12148/cb145839233#foaf:Person	http://www.idref.fr/061431761
J Quentin	Quentin, Julien (1974--)	http://data.bnf.fr/ark:/12148/cb14590858z#foaf:Person	http://www.idref.fr/083049843
