Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
G Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
G. Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
M Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
M Georgie Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
M. Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
M. Georgie Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
George Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
Georgina Hyde-Lees Yeats	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
Georgiana Hyde-Lees	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
Georgina Hyde-Lees	Yeats, Georgie (1892-1968)	http://data.bnf.fr/ark:/12148/cb13577216h#foaf:Person	http://www.idref.fr/073743402
Herbert Osborn Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
H O Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
H. O. Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
M Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
M Herbert Osborn Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
M. Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
M. Herbert Osborn Yardley	Yardley, Herbert Osborn (1889-1958)	http://data.bnf.fr/ark:/12148/cb14612347x#foaf:Person	http://dbpedia.org/resource/Herbert_Yardley	http://www.idref.fr/111755034
Vincent Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
V Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
V. Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
M Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
M Vincent Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
M. Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
M. Vincent Youmans	Youmans, Vincent (1898-1946)	http://data.bnf.fr/ark:/12148/cb13901338w#foaf:Person	http://dbpedia.org/resource/Vincent_Youmans	http://www.idref.fr/157442640
Henry Stuart York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
Henry Stuart York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
H S York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
H. S. York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
M York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
M Henry Stuart York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
M. York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
M. Henry Stuart York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
Henry Stuart	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
Cardinal d' York	York, Henry Stuart (1725-1807)	http://data.bnf.fr/ark:/12148/cb144950621#foaf:Person	http://dbpedia.org/resource/Henri_Benoît_Stuart	http://www.idref.fr/127679138
Sang-Sǒp Yǒm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
Sañ Sōp Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
S S Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
S. S. Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
M Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
M Sañ Sōp Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
M. Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
M. Sañ Sōp Yōm	Yōm, Sañ Sōp (1897-1963)	http://data.bnf.fr/ark:/12148/cb12530012x#foaf:Person	http://dbpedia.org/resource/Yom_Sang-seop	http://www.idref.fr/085811939	http://www.idref.fr/103881395
Joséphine Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
J Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
J. Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
Mme Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
Mme Joséphine Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
Mme. Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
Mme. Joséphine Yon	Yon, Joséphine (1827-1902)	http://data.bnf.fr/ark:/12148/cb15011840r#foaf:Person
Jacob of Sarug	Yaʿqūb al Sarūǧī, 	http://data.bnf.fr/ark:/12148/cb120750781#foaf:Person	http://www.idref.fr/029041627
 Yaʿqūb al Sarūǧī	Yaʿqūb al Sarūǧī, 	http://data.bnf.fr/ark:/12148/cb120750781#foaf:Person	http://www.idref.fr/029041627
Yaʿqūb al Sarūǧī	Yaʿqūb al Sarūǧī, 	http://data.bnf.fr/ark:/12148/cb120750781#foaf:Person	http://www.idref.fr/029041627
