M. Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
M. Cesare Olschki	Olschki, Cesare (1890-1972)	http://data.bnf.fr/ark:/12148/cb11476426p#foaf:Person	http://www.idref.fr/099037602
Nyoiti Sakurazawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
Georges Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
G Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
G. Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
M Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
M Georges Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
M. Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
M. Georges Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
Nyöichi Sakurazawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
George Ohsawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
Yukikazu Sakurazawa	Ohsawa, Georges (1893-1966)	http://data.bnf.fr/ark:/12148/cb11923429t#foaf:Person	http://www.idref.fr/027119394	http://dbpedia.org/resource/Georges_Ohsawa
Maria Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
M Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
M. Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
Mme Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
Mme Maria Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
Mme. Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
Mme. Maria Ossowska	Ossowska, Maria (1896-1974)	http://data.bnf.fr/ark:/12148/cb12690710k#foaf:Person	http://www.idref.fr/071034226
Jean Philippe de Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
de Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
De Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
J P Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
J. P. Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
J P de Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
J P De Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
J. P. De Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
J. P. de Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
M de Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
M Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
M Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
M Jean Philippe de Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
M. Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
M. Jean Philippe de Orléans	Orléans, Jean Philippe de (1702-1748)	http://data.bnf.fr/ark:/12148/cb15558085w#foaf:Person
Franciscus Oriolius	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
Francesco Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
F Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
F. Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
M Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
M Francesco Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
M. Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
M. Francesco Orioli	Orioli, Francesco (1783-1856)	http://data.bnf.fr/ark:/12148/cb104472525#foaf:Person	http://www.idref.fr/085547271
Sacha Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
Alexandre Ilitch Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
A I Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
A. I. Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
M Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
M Alexandre Ilitch Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
M. Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
M. Alexandre Ilitch Oulianov	Oulianov, Alexandre Ilitch (1866-1887)	http://data.bnf.fr/ark:/12148/cb16277647s#foaf:Person
Marius Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
Marius P. Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
M P Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
M. P. Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
M Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
M Marius P. Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
M. Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
M. Marius P. Otto	Otto, Marius P. (1870-1939)	http://data.bnf.fr/ark:/12148/cb13478761s#foaf:Person	http://www.idref.fr/074781162
Caspar Othmaier	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
Caspar Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
C Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
C. Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
M Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
M Caspar Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
M. Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
M. Caspar Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
Kaspar Othmayr	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
Kaspar Othmaier	Othmayr, Caspar (1515-1553)	http://data.bnf.fr/ark:/12148/cb14818107x#foaf:Person	http://dbpedia.org/resource/Caspar_Othmayr	http://www.idref.fr/150404875
Eugène Odent	Odent, Eugène (1855-1914)	http://data.bnf.fr/ark:/12148/cb16277075c#foaf:Person
Odent	Odent, Eugène (1855-1914)	http://data.bnf.fr/ark:/12148/cb16277075c#foaf:Person
E Odent	Odent, Eugène (1855-1914)	http://data.bnf.fr/ark:/12148/cb16277075c#foaf:Person
E. Odent	Odent, Eugène (1855-1914)	http://data.bnf.fr/ark:/12148/cb16277075c#foaf:Person
M Odent	Odent, Eugène (1855-1914)	http://data.bnf.fr/ark:/12148/cb16277075c#foaf:Person
M Eugène Odent	Odent, Eugène (1855-1914)	http://data.bnf.fr/ark:/12148/cb16277075c#foaf:Person
