Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
L Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
L. Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
M Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
M Louis Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
M. Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
M. Louis Esquieu	Esquieu, Louis (1865-1927)	http://data.bnf.fr/ark:/12148/cb12604653p#foaf:Person	http://www.idref.fr/086276301
Évagre le Scholastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
 Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
 Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
. Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
M Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
M  Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
M. Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
M.  Evagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Eu̓ágrios Scholastikós	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
