Ξενοφῶν	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
Xenophō̂n	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
Senofonte	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
Xenofō̂n	Xénophon, 	http://data.bnf.fr/ark:/12148/cb11929460d#foaf:Person	http://dbpedia.org/resource/Xénophon	http://www.idref.fr/027308367
E.-F. Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
Edmond Fernand Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
E F Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
E. F. Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
M Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
M Edmond Fernand Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
M. Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
M. Edmond Fernand Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
Fernand Xau	Xau, Edmond Fernand (1879-1968)	http://data.bnf.fr/ark:/12148/cb10518588s#foaf:Person
