Aḥmad ibn Fāris ibn Zakarīyā  al-Qazwīnī al-Rāzī Abū al-Ḥusayn	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
M'hammed ben Youcef Atfich	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
M'hamed ben Youcef Atfayache	Iṭfīš, Muḥammad ibn Yūsuf (1820-1914)	http://data.bnf.fr/ark:/12148/cb13013157r#foaf:Person	http://www.idref.fr/069690308
Innocent de Berzo	Innocenzo da Berzo (1844-1890)	http://data.bnf.fr/ark:/12148/cb14650360g#foaf:Person	http://dbpedia.org/resource/Innocent_de_Berzo	http://www.idref.fr/088866858
Innocenzo da Berzo	Innocenzo da Berzo (1844-1890)	http://data.bnf.fr/ark:/12148/cb14650360g#foaf:Person	http://dbpedia.org/resource/Innocent_de_Berzo	http://www.idref.fr/088866858
M. Innocenzo da Berzo	Innocenzo da Berzo (1844-1890)	http://data.bnf.fr/ark:/12148/cb14650360g#foaf:Person	http://dbpedia.org/resource/Innocent_de_Berzo	http://www.idref.fr/088866858
M Innocenzo da Berzo	Innocenzo da Berzo (1844-1890)	http://data.bnf.fr/ark:/12148/cb14650360g#foaf:Person	http://dbpedia.org/resource/Innocent_de_Berzo	http://www.idref.fr/088866858
Giovanni Scalvinoni	Innocenzo da Berzo (1844-1890)	http://data.bnf.fr/ark:/12148/cb14650360g#foaf:Person	http://dbpedia.org/resource/Innocent_de_Berzo	http://www.idref.fr/088866858
Alain Inizan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
A. Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
Alain Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
M Alain Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
M Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
A Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
M. Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
M. Alain Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
Lan Inisan	Inisan, Alain (1826-1891)	http://data.bnf.fr/ark:/12148/cb119082381#foaf:Person	http://www.idref.fr/026930803
M Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
J. I. S. A. D' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
D' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
J. I. S. A. Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
J I S A d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
J. I. S. A. d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
M D' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
M. d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
J I S A D' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
M d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
M Joseph Isaïe Saint Ange d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
Joseph Isaïe Saint Ange d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
J I S A Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
M. D' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
M. Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
M. Joseph Isaïe Saint Ange d' Indy	Indy, Joseph Isaïe Saint Ange d' (1769-1831)	http://data.bnf.fr/ark:/12148/cb13773721v#foaf:Person
Angela Caterina Isacchi	Ignazia (1857-1934)	http://data.bnf.fr/ark:/12148/cb137710772#foaf:Person
Ignazia	Ignazia (1857-1934)	http://data.bnf.fr/ark:/12148/cb137710772#foaf:Person
M. Ignazia	Ignazia (1857-1934)	http://data.bnf.fr/ark:/12148/cb137710772#foaf:Person
M Ignazia	Ignazia (1857-1934)	http://data.bnf.fr/ark:/12148/cb137710772#foaf:Person
Juan Ignacio de Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
J I Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
J. I. Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
M Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
Juan Ignazio Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
M. Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
M. Juan Ignazio Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
M Juan Ignazio Iztueta	Iztueta, Juan Ignazio (1767-1845)	http://data.bnf.fr/ark:/12148/cb10603377b#foaf:Person	http://www.idref.fr/059903813
Ibn Abul Khayr Moḥammed	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
M Muḥammad Ibn Abī al H̲ayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
Muḥammad Ibn Abī al H̲ayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
Ibn Abī al H̲ayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
M. Ibn Abī al H̲ayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
M Ibn Abī al H̲ayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
M. Muḥammad Ibn Abī al H̲ayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
Moḥammed b. Balkhayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
Moḥammed Balkhayr	Ibn Abī al H̲ayr, Muḥammad (1822-1906)	http://data.bnf.fr/ark:/12148/cb13568075h#foaf:Person
M Carlo Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
C. Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
M Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
M. Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
M. Carlo Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
Carlo Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
C Innocenzi	Innocenzi, Carlo (1899-1962)	http://data.bnf.fr/ark:/12148/cb141077909#foaf:Person	http://dbpedia.org/resource/Carlo_Innocenzi
