Börje Leander	Börje Leander	http://fr.dbpedia.org/resource/Börje_Leander	http://dbpedia.org/resource/Börje_Leander
Bill Hutchinson (homme politique)	Bill Hutchinson (homme politique)	http://fr.dbpedia.org/resource/Bill_Hutchinson_(homme_politique)	http://dbpedia.org/resource/Bill_Hutchinson_(politician)
Benoît Haller	Benoît Haller	http://fr.dbpedia.org/resource/Benoît_Haller	http://dbpedia.org/resource/Benoît_Haller
Ben Revere	Ben Revere	http://fr.dbpedia.org/resource/Ben_Revere	http://dbpedia.org/resource/Ben_Revere
Bruno da Silva Lopes	Bruno da Silva Lopes	http://fr.dbpedia.org/resource/Bruno_da_Silva_Lopes	http://dbpedia.org/resource/Bruno_da_Silva_Lopes
Bob Skilton	Bob Skilton	http://fr.dbpedia.org/resource/Bob_Skilton	http://dbpedia.org/resource/Bob_Skilton
Ba Mamadou M'Baré	Ba Mamadou M' Baré	http://fr.dbpedia.org/resource/Ba_Mamadou_M'Baré	http://dbpedia.org/resource/Ba_Mamadou_Mbaré
Ba Mamadou dit M'Baré	Ba Mamadou M' Baré	http://fr.dbpedia.org/resource/Ba_Mamadou_M'Baré	http://dbpedia.org/resource/Ba_Mamadou_Mbaré
Benjamin Insfran	Benjamin Insfran	http://fr.dbpedia.org/resource/Benjamin_Insfran	http://dbpedia.org/resource/Benjamin_Insfran
Brianna Love	Brianna Love	http://fr.dbpedia.org/resource/Brianna_Love	http://dbpedia.org/resource/Brianna_Love
Bruce Norris (hockey sur glace)	Bruce Norris (hockey sur glace)	http://fr.dbpedia.org/resource/Bruce_Norris_(hockey_sur_glace)	http://dbpedia.org/resource/Bruce_Norris
Bruce Norris	Bruce Norris (hockey sur glace)	http://fr.dbpedia.org/resource/Bruce_Norris_(hockey_sur_glace)	http://dbpedia.org/resource/Bruce_Norris
Bernard Rappaz (écologiste)	Bernard Rappaz (écologiste)	http://fr.dbpedia.org/resource/Bernard_Rappaz_(écologiste)
Bernard Rappaz	Bernard Rappaz (écologiste)	http://fr.dbpedia.org/resource/Bernard_Rappaz_(écologiste)
Bernard rappaz	Bernard Rappaz (écologiste)	http://fr.dbpedia.org/resource/Bernard_Rappaz_(écologiste)
Bernard Roman	Bernard Roman	http://fr.dbpedia.org/resource/Bernard_Roman	http://dbpedia.org/resource/Bernard_Roman
Brenton Rickard	Brenton Rickard	http://fr.dbpedia.org/resource/Brenton_Rickard	http://dbpedia.org/resource/Brenton_Rickard
Billy Besson	Billy Besson	http://fr.dbpedia.org/resource/Billy_Besson
Bryant Stith	Bryant Stith	http://fr.dbpedia.org/resource/Bryant_Stith	http://dbpedia.org/resource/Bryant_Stith
Brahim Boudebouda	Brahim Boudebouda	http://fr.dbpedia.org/resource/Brahim_Boudebouda	http://dbpedia.org/resource/Brahim_Boudebouda
Brahim Bedbouda	Brahim Boudebouda	http://fr.dbpedia.org/resource/Brahim_Boudebouda	http://dbpedia.org/resource/Brahim_Boudebouda
Brahim Bedebouda	Brahim Boudebouda	http://fr.dbpedia.org/resource/Brahim_Boudebouda	http://dbpedia.org/resource/Brahim_Boudebouda
Bruno Léchevin	Bruno Léchevin	http://fr.dbpedia.org/resource/Bruno_Léchevin
Brady Heslip	Brady Heslip	http://fr.dbpedia.org/resource/Brady_Heslip	http://dbpedia.org/resource/Brady_Heslip
Biyouna	Biyouna	http://fr.dbpedia.org/resource/Biyouna	http://dbpedia.org/resource/Biyouna
Barbara Ward	Barbara Ward	http://fr.dbpedia.org/resource/Barbara_Ward	http://dbpedia.org/resource/Barbara_Ward,_Baroness_Jackson_of_Lodsworth
Barney Battles, Jr.	Barney Battles, Jr.	http://fr.dbpedia.org/resource/Barney_Battles,_Jr.	http://dbpedia.org/resource/Barney_Battles,_Jr.
Bernard Charles	Bernard Charles	http://fr.dbpedia.org/resource/Bernard_Charles
Blind Boy Fuller	Blind Boy Fuller	http://fr.dbpedia.org/resource/Blind_Boy_Fuller	http://dbpedia.org/resource/Blind_Boy_Fuller
Fulton Allen	Blind Boy Fuller	http://fr.dbpedia.org/resource/Blind_Boy_Fuller	http://dbpedia.org/resource/Blind_Boy_Fuller
Brandon Lyon	Brandon Lyon	http://fr.dbpedia.org/resource/Brandon_Lyon	http://dbpedia.org/resource/Brandon_Lyon
