Pierre Bach	Pierre Bach	http://fr.dbpedia.org/resource/Pierre_Bach
Pierre-Joseph Witdoeck	Pierre Joseph Witdoeck	http://fr.dbpedia.org/resource/Pierre-Joseph_Witdoeck
Pierre Hersart de La Villemarqué	Pierre Hersart de La Villemarqué	http://fr.dbpedia.org/resource/Pierre_Hersart_de_La_Villemarqué
Pierre de La Villemarqué	Pierre Hersart de La Villemarqué	http://fr.dbpedia.org/resource/Pierre_Hersart_de_La_Villemarqué
Paul Weller	Paul Weller	http://fr.dbpedia.org/resource/Paul_Weller	http://dbpedia.org/resource/Paul_Weller
Paul Hegarty	Paul Hegarty	http://fr.dbpedia.org/resource/Paul_Hegarty	http://dbpedia.org/resource/Paul_Hegarty
Paco Ibáñez	Paco Ibáñez	http://fr.dbpedia.org/resource/Paco_Ibáñez	http://dbpedia.org/resource/Paco_Ibáñez
Paco Ibanez	Paco Ibáñez	http://fr.dbpedia.org/resource/Paco_Ibáñez	http://dbpedia.org/resource/Paco_Ibáñez
Paco Ibañez	Paco Ibáñez	http://fr.dbpedia.org/resource/Paco_Ibáñez	http://dbpedia.org/resource/Paco_Ibáñez
Pepe Luis Vargas	Pepe Luis Vargas	http://fr.dbpedia.org/resource/Pepe_Luis_Vargas
Pierre Ruais	Pierre Ruais	http://fr.dbpedia.org/resource/Pierre_Ruais
Pete Babando	Pete Babando	http://fr.dbpedia.org/resource/Pete_Babando	http://dbpedia.org/resource/Pete_Babando
Pruitt Taylor Vince	Pruitt Taylor Vince	http://fr.dbpedia.org/resource/Pruitt_Taylor_Vince	http://dbpedia.org/resource/Pruitt_Taylor_Vince
Paul Armand Petit	Paul Armand Petit	http://fr.dbpedia.org/resource/Paul_Armand_Petit	http://dbpedia.org/resource/Paul_Petit_(aviator)
Pavão	Pavão	http://fr.dbpedia.org/resource/Pavão	http://dbpedia.org/resource/Fernando_Pascoal_Neves
Fernando Pascoal das Neves	Pavão	http://fr.dbpedia.org/resource/Pavão	http://dbpedia.org/resource/Fernando_Pascoal_Neves
Paul Fagius	Paul Fagius	http://fr.dbpedia.org/resource/Paul_Fagius	http://dbpedia.org/resource/Paul_Fagius
Philippe Koch	Philippe Koch	http://fr.dbpedia.org/resource/Philippe_Koch	http://dbpedia.org/resource/Philippe_Koch
Philippe Dessaint	Philippe Dessaint	http://fr.dbpedia.org/resource/Philippe_Dessaint
Paul Newman	Paul Newman	http://fr.dbpedia.org/resource/Paul_Newman	http://dbpedia.org/resource/Paul_Newman
Newman-Foreman Company	Paul Newman	http://fr.dbpedia.org/resource/Paul_Newman	http://dbpedia.org/resource/Paul_Newman
Pierre Vermeulen	Pierre Vermeulen	http://fr.dbpedia.org/resource/Pierre_Vermeulen	http://dbpedia.org/resource/Pierre_Vermeulen
Pim Ligthart	Pim Ligthart	http://fr.dbpedia.org/resource/Pim_Ligthart	http://dbpedia.org/resource/Pim_Ligthart
Peter Hudson (acteur)	Peter Hudson (acteur)	http://fr.dbpedia.org/resource/Peter_Hudson_(acteur)
Peter Hudson	Peter Hudson (acteur)	http://fr.dbpedia.org/resource/Peter_Hudson_(acteur)
Patrice Senmartin	Patrice Senmartin	http://fr.dbpedia.org/resource/Patrice_Senmartin
Patrice SENMARTIN	Patrice Senmartin	http://fr.dbpedia.org/resource/Patrice_Senmartin
Petrisor Toderasc	Petrisor Toderasc	http://fr.dbpedia.org/resource/Petrisor_Toderasc	http://dbpedia.org/resource/Petrișor_Toderașc
Pere Riba	Pere Riba	http://fr.dbpedia.org/resource/Pere_Riba	http://dbpedia.org/resource/Pere_Riba
Pere Riba-Madrid	Pere Riba	http://fr.dbpedia.org/resource/Pere_Riba	http://dbpedia.org/resource/Pere_Riba
Pierluigi Cera	Pierluigi Cera	http://fr.dbpedia.org/resource/Pierluigi_Cera	http://dbpedia.org/resource/Pierluigi_Cera
Pape Paye	Pape Paye	http://fr.dbpedia.org/resource/Pape_Paye	http://dbpedia.org/resource/Pape_Paye
Peter Wadabwa	Peter Wadabwa	http://fr.dbpedia.org/resource/Peter_Wadabwa	http://dbpedia.org/resource/Peter_Wadabwa
Petr Benčík	Petr Benčík	http://fr.dbpedia.org/resource/Petr_Benčík	http://dbpedia.org/resource/Petr_Benčík
Petr Bencik	Petr Benčík	http://fr.dbpedia.org/resource/Petr_Benčík	http://dbpedia.org/resource/Petr_Benčík
Petr Benčik	Petr Benčík	http://fr.dbpedia.org/resource/Petr_Benčík	http://dbpedia.org/resource/Petr_Benčík
Philippe Lentschener	Philippe Lentschener	http://fr.dbpedia.org/resource/Philippe_Lentschener
Pierre Jean Jouve	Pierre Jean Jouve	http://fr.dbpedia.org/resource/Pierre_Jean_Jouve	http://dbpedia.org/resource/Pierre_Jean_Jouve
JOUVE	Pierre Jean Jouve	http://fr.dbpedia.org/resource/Pierre_Jean_Jouve	http://dbpedia.org/resource/Pierre_Jean_Jouve
JOUVE Pierre Jean.	Pierre Jean Jouve	http://fr.dbpedia.org/resource/Pierre_Jean_Jouve	http://dbpedia.org/resource/Pierre_Jean_Jouve
Pierre-Jean Jouve	Pierre Jean Jouve	http://fr.dbpedia.org/resource/Pierre_Jean_Jouve	http://dbpedia.org/resource/Pierre_Jean_Jouve
Pier Janssen	Pier Janssen	http://fr.dbpedia.org/resource/Pier_Janssen
Pierre de Maricourt	Pierre de Maricourt	http://fr.dbpedia.org/resource/Pierre_de_Maricourt	http://dbpedia.org/resource/Petrus_Peregrinus_de_Maricourt
Pierre de maricourt	Pierre de Maricourt	http://fr.dbpedia.org/resource/Pierre_de_Maricourt	http://dbpedia.org/resource/Petrus_Peregrinus_de_Maricourt
Pierre le Pèlerin	Pierre de Maricourt	http://fr.dbpedia.org/resource/Pierre_de_Maricourt	http://dbpedia.org/resource/Petrus_Peregrinus_de_Maricourt
Pablo Cepellini	Pablo Cepellini	http://fr.dbpedia.org/resource/Pablo_Cepellini	http://dbpedia.org/resource/Pablo_Ceppelini
Philip Repington	Philip Repington	http://fr.dbpedia.org/resource/Philip_Repington	http://dbpedia.org/resource/Philip_Repyngdon
Philippe Repyngdon	Philip Repington	http://fr.dbpedia.org/resource/Philip_Repington	http://dbpedia.org/resource/Philip_Repyngdon
Pierre Dmitrienko	Pierre Dmitrienko	http://fr.dbpedia.org/resource/Pierre_Dmitrienko
Piotr Saltykov	Piotr Saltykov	http://fr.dbpedia.org/resource/Piotr_Saltykov	http://dbpedia.org/resource/Pyotr_Saltykov
Pjotr Semjonowitsch Saltykow	Piotr Saltykov	http://fr.dbpedia.org/resource/Piotr_Saltykov	http://dbpedia.org/resource/Pyotr_Saltykov
Pina Piovani	Pina Piovani	http://fr.dbpedia.org/resource/Pina_Piovani
Pascal Vigneron	Pascal Vigneron	http://fr.dbpedia.org/resource/Pascal_Vigneron
Per Ciljan Skjelbred	Per Ciljan Skjelbred	http://fr.dbpedia.org/resource/Per_Ciljan_Skjelbred	http://dbpedia.org/resource/Per_Ciljan_Skjelbred
Pontus Segerström	Pontus Segerström	http://fr.dbpedia.org/resource/Pontus_Segerström	http://dbpedia.org/resource/Pontus_Segerström
Paraskevás Ántzas	Paraskevás Ántzas	http://fr.dbpedia.org/resource/Paraskevás_Ántzas	http://dbpedia.org/resource/Paraskevas_Antzas
Paraskevas Antzas	Paraskevás Ántzas	http://fr.dbpedia.org/resource/Paraskevás_Ántzas	http://dbpedia.org/resource/Paraskevas_Antzas
Pierre Bérégovoy	Pierre Bérégovoy	http://fr.dbpedia.org/resource/Pierre_Bérégovoy	http://dbpedia.org/resource/Pierre_Bérégovoy
Beregovoy	Pierre Bérégovoy	http://fr.dbpedia.org/resource/Pierre_Bérégovoy	http://dbpedia.org/resource/Pierre_Bérégovoy
Pierre Beregovoy	Pierre Bérégovoy	http://fr.dbpedia.org/resource/Pierre_Bérégovoy	http://dbpedia.org/resource/Pierre_Bérégovoy
Bérégovoy	Pierre Bérégovoy	http://fr.dbpedia.org/resource/Pierre_Bérégovoy	http://dbpedia.org/resource/Pierre_Bérégovoy
Béré	Pierre Bérégovoy	http://fr.dbpedia.org/resource/Pierre_Bérégovoy	http://dbpedia.org/resource/Pierre_Bérégovoy
Pierre Alexandre Joseph Allent	Pierre Alexandre Joseph Allent	http://fr.dbpedia.org/resource/Pierre_Alexandre_Joseph_Allent
Pierre Allent	Pierre Alexandre Joseph Allent	http://fr.dbpedia.org/resource/Pierre_Alexandre_Joseph_Allent
Peter Ellenshaw	Peter Ellenshaw	http://fr.dbpedia.org/resource/Peter_Ellenshaw	http://dbpedia.org/resource/Peter_Ellenshaw
Patrick Fischler	Patrick Fischler	http://fr.dbpedia.org/resource/Patrick_Fischler	http://dbpedia.org/resource/Patrick_Fischler
Peter Hicks	Peter Hicks	http://fr.dbpedia.org/resource/Peter_Hicks	http://dbpedia.org/resource/Peter_Hicks
Pascal Richard	Pascal Richard	http://fr.dbpedia.org/resource/Pascal_Richard	http://dbpedia.org/resource/Pascal_Richard
