William Henry Vanderbilt III	William Henry Vanderbilt III	http://fr.dbpedia.org/resource/William_Henry_Vanderbilt_III	http://dbpedia.org/resource/William_Henry_Vanderbilt_III
Winston Smith	Winston Smith	http://fr.dbpedia.org/resource/Winston_Smith	http://dbpedia.org/resource/Winston_Smith
Willie Miller	Willie Miller	http://fr.dbpedia.org/resource/Willie_Miller	http://dbpedia.org/resource/Willie_Miller
Willem Janssen	Willem Janssen	http://fr.dbpedia.org/resource/Willem_Janssen	http://dbpedia.org/resource/Willem_Janssen
Whit Bissell	Whit Bissell	http://fr.dbpedia.org/resource/Whit_Bissell	http://dbpedia.org/resource/Whit_Bissell
Whit Bissel	Whit Bissell	http://fr.dbpedia.org/resource/Whit_Bissell	http://dbpedia.org/resource/Whit_Bissell
Willie Hutch	Willie Hutch	http://fr.dbpedia.org/resource/Willie_Hutch	http://dbpedia.org/resource/Willie_Hutch
Wojciech Rutkowski	Wojciech Rutkowski	http://fr.dbpedia.org/resource/Wojciech_Rutkowski
Wout Brama	Wout Brama	http://fr.dbpedia.org/resource/Wout_Brama	http://dbpedia.org/resource/Wout_Brama
Wilhelm Anton Michael von Attems-Petzenstein	Wilhelm Anton Michael von Attems Petzenstein	http://fr.dbpedia.org/resource/Wilhelm_Anton_Michael_von_Attems-Petzenstein
Wolfgang Zuckermann	Wolfgang Zuckermann	http://fr.dbpedia.org/resource/Wolfgang_Zuckermann	http://dbpedia.org/resource/Wolfgang_Zuckermann
Wout Wijsmans	Wout Wijsmans	http://fr.dbpedia.org/resource/Wout_Wijsmans	http://dbpedia.org/resource/Wout_Wijsmans
Wilma González	Wilma González	http://fr.dbpedia.org/resource/Wilma_González
Will Middlebrooks	Will Middlebrooks	http://fr.dbpedia.org/resource/Will_Middlebrooks	http://dbpedia.org/resource/Will_Middlebrooks
Walter Weiß	Walter Weiß	http://fr.dbpedia.org/resource/Walter_Weiß	http://dbpedia.org/resource/Walter_Weiß
Walter Weiss	Walter Weiß	http://fr.dbpedia.org/resource/Walter_Weiß	http://dbpedia.org/resource/Walter_Weiß
Wang Yang	Wang Yang	http://fr.dbpedia.org/resource/Wang_Yang	http://dbpedia.org/resource/Wang_Yang_(politician)
William Alexander Graham	William Alexander Graham	http://fr.dbpedia.org/resource/William_Alexander_Graham	http://dbpedia.org/resource/William_Alexander_Graham
Werner P. Zibaso	Werner P. Zibaso	http://fr.dbpedia.org/resource/Werner_P._Zibaso
William Jordan	William Jordan	http://fr.dbpedia.org/resource/William_Jordan	http://dbpedia.org/resource/Johnny_Jordan
Johnny Jordan	William Jordan	http://fr.dbpedia.org/resource/William_Jordan	http://dbpedia.org/resource/Johnny_Jordan
William John Jordan	William Jordan	http://fr.dbpedia.org/resource/William_Jordan	http://dbpedia.org/resource/Johnny_Jordan
Wollmar Boström	Wollmar Boström	http://fr.dbpedia.org/resource/Wollmar_Boström	http://dbpedia.org/resource/Wollmar_Boström
Waylon Smithers	Waylon Smithers	http://fr.dbpedia.org/resource/Waylon_Smithers	http://dbpedia.org/resource/Waylon_Smithers
Monsieur Smithers	Waylon Smithers	http://fr.dbpedia.org/resource/Waylon_Smithers	http://dbpedia.org/resource/Waylon_Smithers
Smiters	Waylon Smithers	http://fr.dbpedia.org/resource/Waylon_Smithers	http://dbpedia.org/resource/Waylon_Smithers
Wailon Smithers	Waylon Smithers	http://fr.dbpedia.org/resource/Waylon_Smithers	http://dbpedia.org/resource/Waylon_Smithers
Willie Greene	Willie Greene	http://fr.dbpedia.org/resource/Willie_Greene	http://dbpedia.org/resource/Willie_Greene
William Thoresson	William Thoresson	http://fr.dbpedia.org/resource/William_Thoresson	http://dbpedia.org/resource/William_Thoresson
Karl Thoresson	William Thoresson	http://fr.dbpedia.org/resource/William_Thoresson	http://dbpedia.org/resource/William_Thoresson
Karl William Thoresson	William Thoresson	http://fr.dbpedia.org/resource/William_Thoresson	http://dbpedia.org/resource/William_Thoresson
William Boyd (acteur)	William Boyd (acteur)	http://fr.dbpedia.org/resource/William_Boyd_(acteur)	http://dbpedia.org/resource/William_Boyd_(actor)
Willy Kohut	Willy Kohut	http://fr.dbpedia.org/resource/Willy_Kohut	http://dbpedia.org/resource/Vilmos_Kohut
Vilmos Kohut	Willy Kohut	http://fr.dbpedia.org/resource/Willy_Kohut	http://dbpedia.org/resource/Vilmos_Kohut
Willy KOHUT	Willy Kohut	http://fr.dbpedia.org/resource/Willy_Kohut	http://dbpedia.org/resource/Vilmos_Kohut
Walter Lini	Walter Lini	http://fr.dbpedia.org/resource/Walter_Lini	http://dbpedia.org/resource/Walter_Lini
Wout Poels	Wout Poels	http://fr.dbpedia.org/resource/Wout_Poels	http://dbpedia.org/resource/Wout_Poels
Wouter Poels	Wout Poels	http://fr.dbpedia.org/resource/Wout_Poels	http://dbpedia.org/resource/Wout_Poels
Wilberforce Talel	Wilberforce Talel	http://fr.dbpedia.org/resource/Wilberforce_Talel	http://dbpedia.org/resource/Wilberforce_Talel
Wen Mukubu	Wen Mukubu	http://fr.dbpedia.org/resource/Wen_Mukubu
Winifred Allen	Winifred Allen	http://fr.dbpedia.org/resource/Winifred_Allen
Walter Winkler	Walter Winkler	http://fr.dbpedia.org/resource/Walter_Winkler	http://dbpedia.org/resource/Walter_Winkler
