Frederik Beaubien	Frédérik Beaubien	http://fr.dbpedia.org/resource/Frédérik_Beaubien	http://dbpedia.org/resource/Frederik_Beaubien
Francesco d'Elci	Francesco d' Elci	http://fr.dbpedia.org/resource/Francesco_d'Elci
Francesco D'Elci	Francesco d' Elci	http://fr.dbpedia.org/resource/Francesco_d'Elci
Francesco D’Elci	Francesco d' Elci	http://fr.dbpedia.org/resource/Francesco_d'Elci
François-Joseph Lecat	François Joseph Lecat	http://fr.dbpedia.org/resource/François-Joseph_Lecat
Frasiak	Frasiak	http://fr.dbpedia.org/resource/Frasiak
François Thuillier	François Thuillier	http://fr.dbpedia.org/resource/François_Thuillier
Franco Castellano	Franco Castellano	http://fr.dbpedia.org/resource/Franco_Castellano	http://dbpedia.org/resource/Franco_Castellano
Fred Thomson	Fred Thomson	http://fr.dbpedia.org/resource/Fred_Thomson	http://dbpedia.org/resource/Fred_Thomson
Franz Engstler	Franz Engstler	http://fr.dbpedia.org/resource/Franz_Engstler	http://dbpedia.org/resource/Franz_Engstler
Engstler	Franz Engstler	http://fr.dbpedia.org/resource/Franz_Engstler	http://dbpedia.org/resource/Franz_Engstler
François Gény	François Gény	http://fr.dbpedia.org/resource/François_Gény	http://dbpedia.org/resource/François_Gény
Florent Latrive	Florent Latrive	http://fr.dbpedia.org/resource/Florent_Latrive
Latrive	Florent Latrive	http://fr.dbpedia.org/resource/Florent_Latrive
Frank Boucher	Frank Boucher	http://fr.dbpedia.org/resource/Frank_Boucher	http://dbpedia.org/resource/Frank_Boucher
Flippie van Vuuren	Flippie van Vuuren	http://fr.dbpedia.org/resource/Flippie_van_Vuuren
Flippie Van Vuuren	Flippie van Vuuren	http://fr.dbpedia.org/resource/Flippie_van_Vuuren
Florence Kuntz	Florence Kuntz	http://fr.dbpedia.org/resource/Florence_Kuntz
Francis Isnard	Francis Isnard	http://fr.dbpedia.org/resource/Francis_Isnard
Férébory Doré	Férébory Doré	http://fr.dbpedia.org/resource/Férébory_Doré	http://dbpedia.org/resource/Férébory_Doré
Fodé Doré	Férébory Doré	http://fr.dbpedia.org/resource/Férébory_Doré	http://dbpedia.org/resource/Férébory_Doré
Fred Vargas	Fred Vargas	http://fr.dbpedia.org/resource/Fred_Vargas	http://dbpedia.org/resource/Fred_Vargas
Frédérique Audoin-Rouzeau	Fred Vargas	http://fr.dbpedia.org/resource/Fred_Vargas	http://dbpedia.org/resource/Fred_Vargas
Frédérique Audouin-Rouzeau	Fred Vargas	http://fr.dbpedia.org/resource/Fred_Vargas	http://dbpedia.org/resource/Fred_Vargas
Florimond de Faÿ de La Tour-Maubourg	Florimond de Faÿ de La Tour Maubourg	http://fr.dbpedia.org/resource/Florimond_de_Faÿ_de_La_Tour-Maubourg
Just Pons Florimond de Faÿ de La Tour-Maubourg	Florimond de Faÿ de La Tour Maubourg	http://fr.dbpedia.org/resource/Florimond_de_Faÿ_de_La_Tour-Maubourg
Félix Hemmen	Félix Hemmen	http://fr.dbpedia.org/resource/Félix_Hemmen
François Depeaux	François Depeaux	http://fr.dbpedia.org/resource/François_Depeaux
Francesco Cergoli	Francesco Cergoli	http://fr.dbpedia.org/resource/Francesco_Cergoli	http://dbpedia.org/resource/Francesco_Cergoli
Francisco Medina Luna	Francisco Medina Luna	http://fr.dbpedia.org/resource/Francisco_Medina_Luna	http://dbpedia.org/resource/Piti_(footballer)
Frederik Boi	Frederik Boi	http://fr.dbpedia.org/resource/Frederik_Boi	http://dbpedia.org/resource/Frederik_Boi
Fritzi Burger	Fritzi Burger	http://fr.dbpedia.org/resource/Fritzi_Burger	http://dbpedia.org/resource/Fritzi_Burger
François Birotteau	François Birotteau	http://fr.dbpedia.org/resource/François_Birotteau
Filippo Patroni Griffi	Filippo Patroni Griffi	http://fr.dbpedia.org/resource/Filippo_Patroni_Griffi
Fiodor Pavlovitch Chtcherbatov	Fiodor Pavlovitch Chtcherbatov	http://fr.dbpedia.org/resource/Fiodor_Pavlovitch_Chtcherbatov
Frédéric Andréi	Frédéric Andréi	http://fr.dbpedia.org/resource/Frédéric_Andréi	http://dbpedia.org/resource/Frédéric_Andréi
Frédéric Andrei	Frédéric Andréi	http://fr.dbpedia.org/resource/Frédéric_Andréi	http://dbpedia.org/resource/Frédéric_Andréi
Frank Ferguson	Frank Ferguson	http://fr.dbpedia.org/resource/Frank_Ferguson	http://dbpedia.org/resource/Frank_Ferguson
François Tahi	François Tahi	http://fr.dbpedia.org/resource/François_Tahi
Folkert Velten	Folkert Velten	http://fr.dbpedia.org/resource/Folkert_Velten
Frédéric Fauthoux	Frédéric Fauthoux	http://fr.dbpedia.org/resource/Frédéric_Fauthoux
Freddy Fauthoux	Frédéric Fauthoux	http://fr.dbpedia.org/resource/Frédéric_Fauthoux
Frederic Fauthoux	Frédéric Fauthoux	http://fr.dbpedia.org/resource/Frédéric_Fauthoux
Florence LaBadie	Florence LaBadie	http://fr.dbpedia.org/resource/Florence_LaBadie	http://dbpedia.org/resource/Florence_La_Badie
Florence La Badie	Florence LaBadie	http://fr.dbpedia.org/resource/Florence_LaBadie	http://dbpedia.org/resource/Florence_La_Badie
Fariba Vafi	Fariba Vafi	http://fr.dbpedia.org/resource/Fariba_Vafi	http://dbpedia.org/resource/Fariba_Vafi
François Thomas Galbaud-Dufort	François Thomas Galbaud Dufort	http://fr.dbpedia.org/resource/François_Thomas_Galbaud-Dufort
Tentative de Galbaud	François Thomas Galbaud Dufort	http://fr.dbpedia.org/resource/François_Thomas_Galbaud-Dufort
Fanny Bouyagui	Fanny Bouyagui	http://fr.dbpedia.org/resource/Fanny_Bouyagui
Federico Gasperoni	Federico Gasperoni	http://fr.dbpedia.org/resource/Federico_Gasperoni	http://dbpedia.org/resource/Federico_Gasperoni
Farid Bellabès	Farid Bellabès	http://fr.dbpedia.org/resource/Farid_Bellabès	http://dbpedia.org/resource/Farid_Bellabès
Farid Bellabes	Farid Bellabès	http://fr.dbpedia.org/resource/Farid_Bellabès	http://dbpedia.org/resource/Farid_Bellabès
