Uwe Hünemeier	Uwe Hünemeier	http://fr.dbpedia.org/resource/Uwe_Hünemeier	http://dbpedia.org/resource/Uwe_Hünemeier
Uwe Peschel	Uwe Peschel	http://fr.dbpedia.org/resource/Uwe_Peschel	http://dbpedia.org/resource/Uwe_Peschel
Ultra-Humanite	Ultra Humanite	http://fr.dbpedia.org/resource/Ultra-Humanite	http://dbpedia.org/resource/Ultra-Humanite
Uri Maklev	Uri Maklev	http://fr.dbpedia.org/resource/Uri_Maklev	http://dbpedia.org/resource/Uri_Maklev
Ulrike Müller	Ulrike Müller	http://fr.dbpedia.org/resource/Ulrike_Müller
Uta Pippig	Uta Pippig	http://fr.dbpedia.org/resource/Uta_Pippig	http://dbpedia.org/resource/Uta_Pippig
Uğur Boral	Uğur Boral	http://fr.dbpedia.org/resource/Uğur_Boral	http://dbpedia.org/resource/Uğur_Boral
Ugur Boral	Uğur Boral	http://fr.dbpedia.org/resource/Uğur_Boral	http://dbpedia.org/resource/Uğur_Boral
Ulf Timmermann	Ulf Timmermann	http://fr.dbpedia.org/resource/Ulf_Timmermann	http://dbpedia.org/resource/Ulf_Timmermann
Uberto di Cocconato	Uberto di Cocconato	http://fr.dbpedia.org/resource/Uberto_di_Cocconato
Urbain Decottignies	Urbain Decottignies	http://fr.dbpedia.org/resource/Urbain_Decottignies
Uladzislau Andreyeu	Uladzislau Andreyeu	http://fr.dbpedia.org/resource/Uladzislau_Andreyeu
Udonis Haslem	Udonis Haslem	http://fr.dbpedia.org/resource/Udonis_Haslem	http://dbpedia.org/resource/Udonis_Haslem
Ubu	Ubu	http://fr.dbpedia.org/resource/Ubu
Ubuesque	Ubu	http://fr.dbpedia.org/resource/Ubu
Ukon (poétesse)	Ukon (poétesse)	http://fr.dbpedia.org/resource/Ukon_(poétesse)	http://dbpedia.org/resource/Ukon_(poet)
Uri Kokia	Uri Kokia	http://fr.dbpedia.org/resource/Uri_Kokia	http://dbpedia.org/resource/Uri_Kokia
Uta Nickel	Uta Nickel	http://fr.dbpedia.org/resource/Uta_Nickel	http://dbpedia.org/resource/Uta_Nickel
Uroš Slokar	Uroš Slokar	http://fr.dbpedia.org/resource/Uroš_Slokar	http://dbpedia.org/resource/Uroš_Slokar
Ubiratan Pereira Maciel	Ubiratan Pereira Maciel	http://fr.dbpedia.org/resource/Ubiratan_Pereira_Maciel	http://dbpedia.org/resource/Ubiratan_Pereira_Maciel
Uļjana Semjonova	Uļjana Semjonova	http://fr.dbpedia.org/resource/Uļjana_Semjonova	http://dbpedia.org/resource/Uljana_Semjonova
Ouliana Semenova	Uļjana Semjonova	http://fr.dbpedia.org/resource/Uļjana_Semjonova	http://dbpedia.org/resource/Uljana_Semjonova
Ouliana Semionova	Uļjana Semjonova	http://fr.dbpedia.org/resource/Uļjana_Semjonova	http://dbpedia.org/resource/Uljana_Semjonova
Uljana Semjonova	Uļjana Semjonova	http://fr.dbpedia.org/resource/Uļjana_Semjonova	http://dbpedia.org/resource/Uljana_Semjonova
Ulrich Schlüer	Ulrich Schlüer	http://fr.dbpedia.org/resource/Ulrich_Schlüer	http://dbpedia.org/resource/Ulrich_Schlüer
Ulrich Schluer	Ulrich Schlüer	http://fr.dbpedia.org/resource/Ulrich_Schlüer	http://dbpedia.org/resource/Ulrich_Schlüer
Udo-Dieter Wange	Udo Dieter Wange	http://fr.dbpedia.org/resource/Udo-Dieter_Wange
Una Merkel	Una Merkel	http://fr.dbpedia.org/resource/Una_Merkel	http://dbpedia.org/resource/Una_Merkel
Ursula von der Leyen	Ursula von der Leyen	http://fr.dbpedia.org/resource/Ursula_von_der_Leyen	http://dbpedia.org/resource/Ursula_von_der_Leyen
Ursula von der leyen	Ursula von der Leyen	http://fr.dbpedia.org/resource/Ursula_von_der_Leyen	http://dbpedia.org/resource/Ursula_von_der_Leyen
Ulrike Höfken	Ulrike Höfken	http://fr.dbpedia.org/resource/Ulrike_Höfken
Ulrich Seidl	Ulrich Seidl	http://fr.dbpedia.org/resource/Ulrich_Seidl	http://dbpedia.org/resource/Ulrich_Seidl
Ulrich Ochsenbein	Ulrich Ochsenbein	http://fr.dbpedia.org/resource/Ulrich_Ochsenbein	http://dbpedia.org/resource/Ulrich_Ochsenbein
Una O'Connor	Una O' Connor	http://fr.dbpedia.org/resource/Una_O'Connor	http://dbpedia.org/resource/Una_O'Connor_(actress)
Uwe Gensheimer	Uwe Gensheimer	http://fr.dbpedia.org/resource/Uwe_Gensheimer	http://dbpedia.org/resource/Uwe_Gensheimer
Urs Gasche	Urs Gasche	http://fr.dbpedia.org/resource/Urs_Gasche
Uché Agba	Uché Agba	http://fr.dbpedia.org/resource/Uché_Agba
Uche Agba	Uché Agba	http://fr.dbpedia.org/resource/Uché_Agba
Ulick Lupède	Ulick Lupède	http://fr.dbpedia.org/resource/Ulick_Lupède	http://dbpedia.org/resource/Ulick_Lupede
Ulrick Lupède	Ulick Lupède	http://fr.dbpedia.org/resource/Ulick_Lupède	http://dbpedia.org/resource/Ulick_Lupede
Unus l'Intouchable	Unus l' Intouchable	http://fr.dbpedia.org/resource/Unus_l'Intouchable	http://dbpedia.org/resource/Unus_the_Untouchable
Ulysses S. Grant	Ulysses S. Grant	http://fr.dbpedia.org/resource/Ulysses_S._Grant	http://dbpedia.org/resource/Ulysses_S._Grant
Général Grant	Ulysses S. Grant	http://fr.dbpedia.org/resource/Ulysses_S._Grant	http://dbpedia.org/resource/Ulysses_S._Grant
Ulysse S. Grant	Ulysses S. Grant	http://fr.dbpedia.org/resource/Ulysses_S._Grant	http://dbpedia.org/resource/Ulysses_S._Grant
Ulysses Grant	Ulysses S. Grant	http://fr.dbpedia.org/resource/Ulysses_S._Grant	http://dbpedia.org/resource/Ulysses_S._Grant
Ulysses Simpson Grant	Ulysses S. Grant	http://fr.dbpedia.org/resource/Ulysses_S._Grant	http://dbpedia.org/resource/Ulysses_S._Grant
Uno Nomesta	Uno Nomesta	http://fr.dbpedia.org/resource/Uno_Nomesta
Uwe Krupp	Uwe Krupp	http://fr.dbpedia.org/resource/Uwe_Krupp	http://dbpedia.org/resource/Uwe_Krupp
Ulrich III de Neuchâtel	Ulrich III de Neuchâtel	http://fr.dbpedia.org/resource/Ulrich_III_de_Neuchâtel
Ulrik Wilbek	Ulrik Wilbek	http://fr.dbpedia.org/resource/Ulrik_Wilbek	http://dbpedia.org/resource/Ulrik_Wilbek
Ursula Goodenough	Ursula Goodenough	http://fr.dbpedia.org/resource/Ursula_Goodenough	http://dbpedia.org/resource/Ursula_Goodenough
Ueli Sutter	Ueli Sutter	http://fr.dbpedia.org/resource/Ueli_Sutter	http://dbpedia.org/resource/Ueli_Sutter
Üli Sutter	Ueli Sutter	http://fr.dbpedia.org/resource/Ueli_Sutter	http://dbpedia.org/resource/Ueli_Sutter
Uri Avnery	Uri Avnery	http://fr.dbpedia.org/resource/Uri_Avnery	http://dbpedia.org/resource/Uri_Avnery
Helmut Ostermann	Uri Avnery	http://fr.dbpedia.org/resource/Uri_Avnery	http://dbpedia.org/resource/Uri_Avnery
Uri Avneri	Uri Avnery	http://fr.dbpedia.org/resource/Uri_Avnery	http://dbpedia.org/resource/Uri_Avnery
Uschi Obermaier	Uschi Obermaier	http://fr.dbpedia.org/resource/Uschi_Obermaier	http://dbpedia.org/resource/Uschi_Obermaier
Umaru Bangura	Umaru Bangura	http://fr.dbpedia.org/resource/Umaru_Bangura	http://dbpedia.org/resource/Umaru_Bangura
Urve Tiidus	Urve Tiidus	http://fr.dbpedia.org/resource/Urve_Tiidus	http://dbpedia.org/resource/Urve_Tiidus
Urbain de Miolans	Urbain de Miolans	http://fr.dbpedia.org/resource/Urbain_de_Miolans
Ute Skorupski	Ute Skorupski	http://fr.dbpedia.org/resource/Ute_Skorupski
Umbra Jumdail	Umbra Jumdail	http://fr.dbpedia.org/resource/Umbra_Jumdail
Utagawa Sadahide	Utagawa Sadahide	http://fr.dbpedia.org/resource/Utagawa_Sadahide	http://dbpedia.org/resource/Sadahide
Ulli Lommel	Ulli Lommel	http://fr.dbpedia.org/resource/Ulli_Lommel	http://dbpedia.org/resource/Ulli_Lommel
Urbain Vitry	Urbain Vitry	http://fr.dbpedia.org/resource/Urbain_Vitry
Ulrich Grauert	Ulrich Grauert	http://fr.dbpedia.org/resource/Ulrich_Grauert	http://dbpedia.org/resource/Ulrich_Grauert
Ulrich Plenzdorf	Ulrich Plenzdorf	http://fr.dbpedia.org/resource/Ulrich_Plenzdorf	http://dbpedia.org/resource/Ulrich_Plenzdorf
Una Mae Carlisle	Una Mae Carlisle	http://fr.dbpedia.org/resource/Una_Mae_Carlisle	http://dbpedia.org/resource/Una_Mae_Carlisle
Ufuk Ceylan	Ufuk Ceylan	http://fr.dbpedia.org/resource/Ufuk_Ceylan	http://dbpedia.org/resource/Ufuk_Ceylan
Uwe Timm	Uwe Timm	http://fr.dbpedia.org/resource/Uwe_Timm	http://dbpedia.org/resource/Uwe_Timm
Ulf Dahlén	Ulf Dahlén	http://fr.dbpedia.org/resource/Ulf_Dahlén	http://dbpedia.org/resource/Ulf_Dahlén
Ulf Dahlen	Ulf Dahlén	http://fr.dbpedia.org/resource/Ulf_Dahlén	http://dbpedia.org/resource/Ulf_Dahlén
Uffe Manich Bech	Uffe Manich Bech	http://fr.dbpedia.org/resource/Uffe_Manich_Bech	http://dbpedia.org/resource/Uffe_Bech
Ubaldo Cruche	Ubaldo Cruche	http://fr.dbpedia.org/resource/Ubaldo_Cruche	http://dbpedia.org/resource/Ubaldo_Cruche
Ulis Williams	Ulis Williams	http://fr.dbpedia.org/resource/Ulis_Williams	http://dbpedia.org/resource/Ulis_Williams
Uthumphon	Uthumphon	http://fr.dbpedia.org/resource/Uthumphon	http://dbpedia.org/resource/Uthumphon
Urbain de Hercé	Urbain de Hercé	http://fr.dbpedia.org/resource/Urbain_de_Hercé
Urho Teräs	Urho Teräs	http://fr.dbpedia.org/resource/Urho_Teräs	http://dbpedia.org/resource/Urho_Teräs
Urbano Paracciani Rutili	Urbano Paracciani Rutili	http://fr.dbpedia.org/resource/Urbano_Paracciani_Rutili
Umberto Bossi	Umberto Bossi	http://fr.dbpedia.org/resource/Umberto_Bossi	http://dbpedia.org/resource/Umberto_Bossi
Urbain Caffi	Urbain Caffi	http://fr.dbpedia.org/resource/Urbain_Caffi	http://dbpedia.org/resource/Urbain_Caffi
Umaru Yar'Adua	Umaru Yar' Adua	http://fr.dbpedia.org/resource/Umaru_Yar'Adua	http://dbpedia.org/resource/Umaru_Musa_Yar'Adua
Umaru Musa Yar'Adua	Umaru Yar' Adua	http://fr.dbpedia.org/resource/Umaru_Yar'Adua	http://dbpedia.org/resource/Umaru_Musa_Yar'Adua
Umaru Yar’Adua	Umaru Yar' Adua	http://fr.dbpedia.org/resource/Umaru_Yar'Adua	http://dbpedia.org/resource/Umaru_Musa_Yar'Adua
Uwe Kagelmann	Uwe Kagelmann	http://fr.dbpedia.org/resource/Uwe_Kagelmann	http://dbpedia.org/resource/Uwe_Kagelmann
Ursula Moore	Ursula Moore	http://fr.dbpedia.org/resource/Ursula_Moore
Urs Kunz	Urs Kunz	http://fr.dbpedia.org/resource/Urs_Kunz	http://dbpedia.org/resource/Urs_Kunz
